country_code,date_year,life_expectancy,infant_mortality,death_rate,fertility_rate,population_total,health_expenditure_pct_gdp,hospital_beds_per_1000,gdp_usd,gdp_per_capita_usd,gdp_growth_percent,gnp_per_capita_usd,inflation_percent,unemployment_percent,literacy_rate,education_expenditure_pct_gdp,population_growth_percent,poverty_headcount_1_90,income_share_top_20,climate_disaster_impact_percent
USA,1979,73.8048780487805,13.1,8.5,1.808,225055000,,6.09999990463257,2627333000000.0,11674.1818666548,3.16598821816159,12200,11.2544711292795,,,,1.10357656509899,0.7,23.5,
USA,1980,73.609756097561,12.6,8.8,1.8395,227225000,,6.0,2857307000000.0,12574.7915062163,-0.256775731395592,13390,13.5492019749684,,,,0.959589922764484,0.5,23.6,
USA,1981,74.009756097561,12.1,8.6,1.812,229466000,,5.90000009536743,3207041000000.0,13976.10539252,2.53770126828974,14360,10.3347153402771,,,,0.981415437259678,0.5,23.6,
USA,1982,74.3609756097561,11.6,8.5,1.8275,231664000,,5.90000009536743,3343789000000.0,14433.787727053,-1.80301378934359,14220,6.13142700027493,,,,0.953317566163514,0.7,23.7,
USA,1983,74.4634146341463,11.2,8.6,1.799,233792000,,5.80000019073486,3634038000000.0,15543.8937174925,4.58379098362749,14570,3.21243523316065,,,,0.914378513375149,0.7,23.8,
USA,1984,74.5634146341464,10.9,8.7,1.8065,235825000,,5.69999980926514,4037613000000.0,17121.2254849995,7.23645316474058,16210,4.30053547523429,,,,0.865817336309961,0.7,23.7,
USA,1985,74.5634146341464,10.6,8.7,1.844,237924000,,5.5,4338979000000.0,18236.8277265009,4.16957534699196,17460,3.54564415209365,,,,0.886129040850881,0.7,23.6,
USA,1986,74.6146341463415,10.4,8.7,1.8375,240133000,,5.40000009536743,4579631000000.0,19071.2271949295,3.46265505694664,19110,1.89804772234276,,,,0.924164157058979,0.7,23.7,
USA,1987,74.7658536585366,10.1,8.6,1.872,242289000,,5.19999980926514,4855215000000.0,20038.9410992658,3.45462966856461,21390,3.6645632175169,,,,0.893829201032046,0.5,23.8,
USA,1988,74.7658536585366,9.9,8.9,1.934,244499000,,5.09999990463257,5236438000000.0,21417.0119305191,4.1769823865164,23490,4.07774110744413,,,,0.907999040167679,0.5,23.6,
USA,1989,75.0170731707317,9.7,8.8,2.014,246819000,,5.0,5641580000000.0,22857.1544330056,3.67223784383981,23770,4.82700303008944,,,,0.944405555428529,0.5,23.3,
USA,1990,75.2146341463415,9.4,8.6,2.081,249623000,,4.9000000954,5963144000000.0,23888.6000088133,1.88596558187626,24060,5.39795643990325,,,,1.12965052045579,0.5,23.4,
USA,1991,75.3658536585366,9.1,8.6,2.0625,252981000,,4.8000001907,6158129000000.0,24342.2589048189,-0.108312882368935,24270,4.23496396453849,6.8,,,1.33626074073779,0.5,23.4,
USA,1992,75.6170731707317,8.8,8.5,2.046,256514000,,4.5999999046,6520327000000.0,25418.9907763319,3.52249717301392,25680,3.02881967814969,7.5,,,1.38688569247935,0.5,23.4,
